target_id,star_id,koi_period,period_err,depth,depth_err,duration,duration_err,koi_smass,koi_srad,koi_prad
400693,3476,16.29769716,0.001685037,0.000314251,1.23E-05,0.201280633,0.003453099,1.102,1.288,2.490346702
400693,3476,31.97859804,0.000966031,0.000935754,2.28E-05,0.12334912,0.00195382,1.102,1.288,4.297362262
401048,68413,6.70182819,0.000371454,0.001065324,1.50E-05,0.104220089,0.000870387,0.978,0.943,3.3570503
401048,68413,19.01689805,0.001590942,0.000469336,2.23E-05,0.135016963,0.003413775,0.978,0.943,2.22822463
401054,52479,27.00122705,0.001525519,0.000290861,1.25E-05,0.159605662,0.003328311,0.71,0.72,1.33930734
401054,52479,36.08988379,0.002146405,0.000240726,1.33E-05,0.190954138,0.004681264,0.71,0.72,1.218425742
401269,67814,39.71894907,0.000154805,0.003068003,9.85E-06,0.17984296,0.000313486,1.031,0.987,5.962801768
401269,67814,98.28595338,0.001457562,0.000445342,1.43E-05,0.215517444,0.003063839,1.031,0.987,2.271795007
401319,22490,3.554831594,4.74E-05,0.008252486,1.64E-05,0.083525833,0.000110876,0.759,0.735,7.282576576
401319,22490,10.24086895,0.000351356,0.002247314,2.21E-05,0.124744738,0.00068047,0.759,0.735,3.800358532
401737,85447,4.617089749,0.002207399,0.000147534,1.11E-05,0.111888149,0.004741825,0.897,0.896,1.187022043
401737,85447,6.258628458,0.003031606,0.000122403,1.22E-05,0.124867636,0.006670999,0.897,0.896,1.081207497
402488,70785,8.151418283,0.00407022,0.000219434,3.21E-05,0.110061415,0.009162139,0.751,0.753,1.216613094
402488,70785,101.5532987,0.0058858,0.000668595,9.32E-05,0.177732784,0.012136017,0.751,0.753,2.123645202
403113,13227,3.922068304,0.001230832,0.000467305,2.30E-05,0.088992569,0.002739799,0.77,0.735,1.732976915
403113,13227,12.18399146,0.000475716,0.002553935,3.49E-05,0.123118573,0.000943226,0.77,0.735,4.051329252
403415,32381,4.454957475,0.002224968,0.000389799,2.47E-05,0.142807722,0.004549066,1.034,1.156,2.489336592
403415,32381,8.549561316,0.001395584,0.000910059,3.10E-05,0.176905033,0.002797395,1.034,1.156,3.803627118
403533,47709,8.67408218,0.003005083,0.000142658,1.35E-05,0.117736363,0.006170107,0.695,0.675,0.879341825
403533,47709,14.48304811,0.002957579,0.000174055,1.68E-05,0.126902383,0.00654663,0.695,0.675,0.971297641
404252,40274,95.17829085,0.002171956,0.000379133,1.58E-05,0.2371886,0.00429984,0.867,1.037,2.202317322
404252,40274,213.7698741,0.006303793,0.000242349,2.18E-05,0.429712328,0.012302216,0.867,1.037,1.76077818
404279,77434,26.46364917,0.001274596,0.001558242,5.54E-05,0.145129905,0.002685383,0.985,0.959,4.128966479
404279,77434,81.97783159,0.003789222,0.000921738,7.54E-05,0.269226962,0.008646719,0.985,0.959,3.175614186
