,#x
1176,1.64E-07
1177,2.28E-07
1178,3.53E-07
1179,6.50E-07
1180,1.66E-06
1181,1.17E-05
1182,0.062805401
1183,3.29E-06
1184,1.11E-06
1185,6.03E-07
1186,4.20E-07
1187,3.47E-07
1188,3.32E-07
1189,3.67E-07
1190,4.77E-07
1191,7.62E-07
1192,1.64E-06
1193,4.05E-06
1194,2.05E-06
1195,6.08E-07
1196,2.37E-07
1197,1.12E-07
1198,5.82E-08
1199,3.22E-08
1200,1.83E-08
1201,1.05E-08
1202,5.91E-09
1203,3.23E-09
1204,1.68E-09
1205,8.21E-10
1206,3.83E-10
1207,1.76E-10
1208,8.62E-11
1209,4.86E-11
1210,3.20E-11
1211,6.78E-11
1212,3.81E-10
1213,1.27E-09
1214,3.16E-09
1215,6.46E-09
1216,1.13E-08
1217,1.64E-08
1218,1.93E-08
1219,1.86E-08
1220,1.63E-08
1221,1.45E-08
1222,1.41E-08
1223,1.53E-08
1224,1.80E-08
1225,2.23E-08
1226,2.78E-08
1227,3.44E-08
1228,4.21E-08
1229,5.12E-08
1230,6.29E-08
1231,7.91E-08
1232,1.03E-07
1233,1.39E-07
1234,1.96E-07
1235,2.85E-07
1236,4.21E-07
1237,5.99E-07
1238,7.55E-07
1239,7.97E-07
1240,7.37E-07
1241,6.57E-07
1242,6.09E-07
1243,6.10E-07
1244,6.72E-07
1245,8.25E-07
1246,1.12E-06
1247,1.52E-06
1248,1.53E-06
1249,9.10E-07
1250,4.26E-07
1251,2.03E-07
1252,1.03E-07
1253,5.52E-08
1254,3.09E-08
1255,1.76E-08
1256,1.01E-08
1257,5.70E-09
1258,3.11E-09
1259,1.62E-09
1260,8.05E-10
1261,3.87E-10
1262,1.90E-10
1263,1.02E-10
1264,6.03E-11
1265,3.77E-11
1266,6.02E-11
1267,3.34E-10
1268,1.10E-09
1269,2.67E-09
1270,5.26E-09
1271,8.73E-09
1272,1.21E-08
1273,1.36E-08
1274,1.30E-08
1275,1.13E-08
1276,9.97E-09
1277,9.49E-09
1278,1.00E-08
1279,1.15E-08
1280,1.37E-08
1281,1.66E-08
1282,2.02E-08
1283,2.43E-08
1284,2.93E-08
1285,3.56E-08
1286,4.37E-08
1287,5.45E-08
1288,6.86E-08
1289,8.71E-08
1290,1.11E-07
1291,1.42E-07
1292,1.83E-07
1293,2.37E-07
1294,3.10E-07
1295,4.11E-07
1296,5.50E-07
1297,7.38E-07
1298,9.81E-07
1299,1.27E-06
1300,1.54E-06
1301,1.70E-06
1302,1.58E-06
1303,1.15E-06
1304,6.71E-07
1305,3.47E-07
1306,1.77E-07
1307,9.29E-08
1308,5.08E-08
1309,2.87E-08
1310,1.65E-08
1311,9.52E-09
1312,5.40E-09
1313,2.97E-09
1314,1.57E-09
1315,8.06E-10
1316,4.13E-10
1317,2.25E-10
1318,1.36E-10
1319,8.52E-11
1320,4.94E-11
1321,5.17E-11
1322,2.82E-10
1323,9.15E-10
1324,2.17E-09
1325,4.15E-09
1326,6.60E-09
1327,8.73E-09
1328,9.60E-09
1329,9.07E-09
1330,7.88E-09
1331,6.86E-09
1332,6.39E-09
1333,6.57E-09
1334,7.35E-09
1335,8.64E-09
1336,1.03E-08
1337,1.24E-08
1338,1.49E-08
1339,1.80E-08
1340,2.17E-08
1341,2.62E-08
1342,3.19E-08
1343,3.86E-08
1344,4.68E-08
1345,5.67E-08
1346,6.94E-08
1347,8.66E-08
1348,1.12E-07
1349,1.51E-07
1350,2.18E-07
1351,3.40E-07
1352,5.88E-07
1353,1.15E-06
1354,2.43E-06
1355,4.08E-06
1356,3.60E-06
1357,2.27E-06
1358,1.31E-06
1359,6.87E-07
1360,3.40E-07
1361,1.69E-07
1362,8.79E-08
1363,4.79E-08
1364,2.71E-08
1365,1.56E-08
1366,9.06E-09
1367,5.19E-09
1368,2.90E-09
1369,1.58E-09
1370,8.58E-10
1371,4.84E-10
1372,3.02E-10
1373,2.07E-10
1374,1.37E-10
1375,7.39E-11
1376,4.30E-11
1377,2.29E-10
1378,7.34E-10
1379,1.71E-09
1380,3.16E-09
1381,4.86E-09
1382,6.22E-09
1383,6.71E-09
1384,6.30E-09
1385,5.45E-09
1386,4.68E-09
1387,4.27E-09
1388,4.29E-09
1389,4.72E-09
1390,5.49E-09
1391,6.54E-09
1392,7.86E-09
1393,9.48E-09
1394,1.14E-08
1395,1.38E-08
1396,1.65E-08
1397,1.97E-08
1398,2.35E-08
1399,2.78E-08
1400,3.31E-08
1401,4.00E-08
1402,4.97E-08
1403,6.45E-08
1404,8.88E-08
1405,1.31E-07
1406,2.15E-07
1407,4.05E-07
1408,9.54E-07
1409,3.56E-06
1410,0.047782834
1411,0.004384912
1412,6.42E-06
1413,2.39E-06
1414,9.79E-07
1415,4.08E-07
1416,1.83E-07
1417,9.02E-08
1418,4.78E-08
1419,2.67E-08
1420,1.54E-08
1421,8.96E-09
1422,5.20E-09
1423,2.99E-09
1424,1.71E-09
1425,9.98E-10
1426,6.32E-10
1427,4.52E-10
1428,3.46E-10
1429,2.40E-10
1430,1.23E-10
1431,3.46E-11
1432,1.79E-10
1433,5.64E-10
1434,1.29E-09
1435,2.33E-09
1436,3.47E-09
1437,4.34E-09
1438,4.62E-09
1439,4.31E-09
1440,3.72E-09
1441,3.15E-09
1442,2.82E-09
1443,2.77E-09
1444,3.00E-09
1445,3.47E-09
1446,4.15E-09
1447,5.02E-09
1448,6.10E-09
1449,7.39E-09
1450,8.92E-09
1451,1.07E-08
1452,1.27E-08
1453,1.49E-08
1454,1.75E-08
1455,2.08E-08
1456,2.52E-08
1457,3.18E-08
1458,4.20E-08
1459,5.88E-08
1460,8.88E-08
1461,1.47E-07
1462,2.78E-07
1463,6.41E-07
1464,2.06E-06
1465,1.24E-05
1466,0.000122048
1467,4.80E-05
1468,1.17E-05
1469,2.39E-06
1470,6.40E-07
1471,2.32E-07
1472,1.03E-07
1473,5.17E-08
1474,2.82E-08
1475,1.61E-08
1476,9.43E-09
1477,5.58E-09
1478,3.31E-09
1479,2.00E-09
1480,1.28E-09
1481,9.08E-10
1482,7.30E-10
1483,6.07E-10
1484,4.35E-10
1485,2.20E-10
1486,2.70E-11
1487,1.34E-10
1488,4.16E-10
1489,9.33E-10
1490,1.65E-09
1491,2.41E-09
1492,2.96E-09
1493,3.11E-09
1494,2.90E-09
1495,2.49E-09
1496,2.09E-09
1497,1.83E-09
1498,1.76E-09
1499,1.88E-09
